ju5	j v5
gu5	g u5
lian3	l ia3 n
zi5	z ii5
kun4	k ue4 n
mi4	m i4
peng5	p e5 ng
kong4	k o4 ng
ta3	t a3
fu4	f u4
cun1	c ue1 n
hu3	h u3
zhi2	zh ii2
nuan2	n ua2 n
zhu1	zh u1
lu4	l u4
ding3	d i3 ng
kou3	k ou3
xin4	x i4 n
chuai4	ch uai4
niu2	n iu2
dai3	d ai3
mai4	m ai4
sheng5	sh e5 ng
zan4	z a4 n
ma3	m a3
di2	d i2
hong2	h o2 ng
bang1	b a1 ng
ku1	k u1
wo5	o5
bi2	b i2
tui3	t uei3
tai2	t ai2
fu1	f u1
wa1	ua1
zao2	z ao2
zheng1	zh e1 ng
suo3	s uo3
cha1	ch a1
xi4	x i4
xia1	x ia1
qian1	q ia1 n
hun1	h ue1 n
jiong2	j o2 ng
lou2	l ou2
shou2	sh ou2
gou4	g ou4
ang4	a4 ng
xiao4	x iao4
bao4	b ao4
jia5	j ia5
hai3	h ai3
qi5	q i5
zhuang1	zh ua1 ng
ga1	g a1
chui1	ch uei1
chuai1	ch uai1
jue2	j ve2
ma2	m a2
jian3	j ia3 n
kuang4	k ua4 ng
dian3	d ia3 n
wei4	uei4
gun3	g ue3 n
yan2	ia2 n
tao3	t ao3
zha2	zh a2
kan4	k a4 n
ta1	t a1
wo3	uo3
dou1	d ou1
ying4	i4 ng
shang3	sh a3 ng
zheng4	zh e4 ng
ka3	k a3
jian2	j a2 n
bing4	b i4 ng
kao2	k ao2
tuan1	t ua1 n
zhi4	zh ii4
hua2	h ua2
zhan1	zh a1 n
sa4	s a4
tou2	t ou2
qiong2	q io2 ng
de5	d e5
ke4	k e4
tong3	t o3 ng
nen4	n e4 n
ti4	t i4
yan3	ia3 n
chao1	ch ao1
ling5	l i5 ng
tie1	t ie1
lian4	l ia4 n
deng2	d e2 ng
chan1	ch a1 n
die1	d ie1
dang3	d a3 ng
ren3	r e3 n
yao4	iao4
cuo4	c uo4
zong2	z o2 ng
chuang4	ch ua4 ng
zhun3	zh ue3 n
mao1	m ao1
lia2	l a2
gun2	g ue2 n
fei4	f ei4
duan3	d ua3 n
bian1	b ia1 n
piao2	p iao2
zui2	z uei2
tong2	t o2 ng
fan1	f a1 n
diao4	d iao4
lao3	l ao3
cui4	c uei4
huang2	h ua2 ng
po2	p o2
mian4	m ia4 n
duo3	d uo3
ceng4	c e4 ng
dan1	d a1 n
liao1	l iao1
jiu2	j u2
sheng1	sh e1 ng
zhe5	zh e5
guo1	g uo1
shang1	sh a1 ng
shuai4	sh uai4
shu3	sh u3
gao3	g ao3
juan4	j va4 n
ya5	ia5
kua3	k ua3
zou2	z ou2
zheng2	z h e2 ng
mian3	m ia3 n
qie1	q ie1
zheng3	zh e3 ng
gun4	g ue4 n
chai1	ch ai1
rou5	r ou5
luan2	l ua2 n
tai4	t ai4
ou2	ou2
man2	m a2 n
chan3	ch a3 n
lv4	l v4
shun5	sh ue5 n
shua1	sh ua1
ban1	b a1 n
gan2	g a2 n
zhi1	zh ii1
man4	m a4 n
ye4	ie4
cu1	c u1
yi4	i4
che4	ch e4
ruan3	r ua3 n
su4	s u4
dang1	d a1 ng
lin2	l i2 n
lai2	l ai2
gang1	g a1 ng
bin4	b i4 n
yun5	ue5 n
gao4	g ao4
su2	s u2
qun2	q v2 n
bei4	b ei4
rang4	r a4 ng
cu4	c u4
qian2	q ia2 n
zhu2	zh u2
ye2	ie2
yue5	v3 ie5
ren2	r e2 n
ku4	k u4
di3	d i3
shuo1	sh uo1
pin4	p i4 n
yao1	iao1
weng1	ue1 ng
hen3	h e3 n
heng2	h e2 ng
zhai4	zh ai4
pang1	p a1 ng
song1	s o1 ng
chuan3	ch ua3 n
ling4	l i4 ng
hai4	h ai4
zhe3	zh e3
zong4	z o4 ng
quan1	q va1 n
jiu3	j iu3
hua1	h ua1
tiao1	t iao1
jiu5	j iu5
yun1	v1 n
mang2	m a2 ng
chi1	ch ii1
gai3	g ai3
min3	m i3 n
huang4	h ua4 ng
zan1	z a1 n
cheng3	ch e3 ng
ren5	r e5 n
bing5	b i5 ng
dai4	d ai4
qiang1	q ia1 ng
gao1	g ao1
dao5	d ao5
zao1	z ao1
ce4	c e4
liu2	l iu2
nuan3	n ua3 n
chuan1	ch ua1 n
tai5	t ai5
ci1	c ii1
gai4	g ai4
ying2	i2 ng
du4	d u4
han1	h a1 n
ding4	d i4 ng
bao3	b ao3
nie4	n ie4
na3	n a3
shi2	sh ii2
zou3	z ou3
peng4	p e4 ng
ge5	g e5
dai1	d ai1
guo5	g uo5
fa3	f a3
pian4	p ia4 n
ting3	t i3 ng
die2	d ie2
juan1	j va1 n
mo3	m o3
pai1	p ai1
ai3	ai3
yue1	ve1
wa3	ua3
dian1	d ia1 n
xiao1	x iao1
ge1	g e1
heng5	h e5 ng
jin1	j i1 n
biao1	b iao1
pin5	p n
la4	l a4
kun1	k ue1 n
rao3	r ao3
suan4	s ua4 n
hu5	h u5
jing3	j i3 ng
yue4	ve4
bei3	b ei3
huo5	h uo5
tui1	t uei1
she3	sh e3
zuo5	z uo5
zhuan3	zh ua3 n
cheng2	ch e2 ng
ying3	i3 ng
bai2	b ai2
xuan3	x va3 n
liu3	l iu3
wang2	ua2 ng
ma1	m a1
ruo5	r uo5
liao4	l iao4
pian2	p ia2 n
xun4	x v4 n
ying1	i1 ng
dao2	d ao2
tan1	t a1 n
zhai3	zh ai3
sun1	s ue1 n
pai4	p ai4
wen2	ue2 n
duan1	d ua1 n
ben2	b e2 n
a5	a5
xie1	x ie1
nian3	n ia3 n
hai2	h ai2
he2	h e2
tang3	t a3 ng
zai3	z ai3
shao2	sh ao2
tiao2	t iao2
shua3	sh ua3
xing4	x i4 ng
fan3	f a3 n
tong4	t o4 ng
xun2	x v2 n
dun4	d ue4 n
mian2	m ia2 n
xiong2	x io2 ng
yuan1	va1 n
ai2	ai2
hai5	h ai5
chou3	ch ou3
xiu1	x iu1
wo4	uo4
er4	e4 r
ma4	m a4
zeng4	z e4 ng
nai2	n ai2
ci3	c ii3
qiang3	q ia3 ng
e4	e4
lan3	l a3 n
han2	h a2 n
pao1	p ao1
yuan3	va3 n
ke2	k e2
fen3	f e3 n
meng2	m e2 ng
jiang2	j a2 ng
zhuang4	zh ua4 ng
xu4	x v4
lai4	l ai4
shui2	sh uei2
jing4	j i4 ng
qing2	q i2 ng
chi2	ch ii2
can2	c a2 n
shao4	sh ao4
you2	iou2
fang3	f a3 ng
si5	s ii5
kang1	k a1 ng
yu2	v2
su1	s u1
jia4	j ia4
lve4	l ve4
de2	d e2
qi4	q i4
ben3	b e3 n
mou2	m ou2
bu5	b u5
mi3	m i3
chi3	ch ii3
feng2	f e2 ng
hu2	h u2
cang2	c a2 ng
zhong4	zh o4 ng
shuai1	sh uai1
bing3	b i3 ng
dan3	d a3 n
ding1	d i1 ng
xiang4	x ia4 ng
qian3	q ia3 n
zui3	z uei3
xie2	x ie2
xi3	x i3
neng2	n e2 ng
ti1	t i1
zhua3	zh ua3
zhai2	zh ai2
wu5	u5
dang2	d a2 ng
bei5	b ei5
jun3	j ue3 n
