xue4	x ve4
zuan3	z ua3 n
qian5	q a5 n
shuai2	sh ai2
gui1	g uei1
bai3	b ai3
chu2	ch u2
di1	d i1
kou4	k ou4
ning4	n i4 ng
guo2	g uo2
zha5	zh a5
xie1	x ie1
fa3	f a3
you2	iou2
o5	o5
quan3	q va3 n
sang3	s a3 ng
chi2	ch ii2
sao3	s ao3
dao4	d ao4
wan1	ua1 n
zheng5	zh e5 ng
huan2	h ua2 n
ci1	c ii1
yu4	v4
duan1	d ua1 n
sheng5	sh e5 ng
kang1	k a1 ng
pei2	p ei2
kang2	k a2 ng
xu1	x v1
chi3	ch ii3
su1	s u1
ne5	n e5
wa4	ua4
pie2	p e2
zeng4	z e4 ng
qian1	q ia1 n
zong1	z o1 ng
sha4	sh a4
chang1	ch a1 ng
ying2	i2 ng
dan2	d a2 n
gao3	g ao3
mi1	m i1
ji2	j i2
pai4	p ai4
kun3	k ue3 n
ju5	j v5
po3	p o3
he1	h e1
jinr4	j i5 r
jing5	j i5 ng
ku1	k u1
liu1	l iu1
qi4	q i4
ban1	b a1 n
sao2	s ao2
chi5	ch i5
ai4	ai4
kuan3	k ua3 n
chuai1	ch uai1
song4	s o4 ng
wan2	ua2 n
zai2	z ai2
hui2	h uei2
qian3	q ia3 n
gair4	g r
mao4	m ao4
wei2	uei2
xin1	x i1 n
bu5	b u5
qu5	q v5
xiang2	x ia2 ng
mo3	m o3
weir4	r
ling5	l i5 ng
dan4	d a4 n
kua1	k ua1
hao3	h ao3
xi2	x i2
shai4	sh ai4
shai1	sh ai1
ceng4	c e4 ng
liar3	l r
shun3	sh ue3 n
nang5	n a5 ng
lao1	l ao1
gong3	g o3 ng
xiang4	x ia4 ng
gan4	g a4 n
qu2	q v2
kuang5	k a5 ng
ge1	g e1
chun1	ch ue1 n
ci4	c ii4
jie1	j ie1
dou5	d ou5
lan4	l a4 n
bing1	b i1 ng
fen5	f e5 n
ang2	a2 ng
xue2	x ve2
lia2	l a2
sheng1	sh e1 ng
tang5	t a5 ng
pen2	p e2 n
lang1	l a1 ng
cheng4	ch e4 ng
lao3	l ao3
hai5	h ai5
zui2	z uei2
ruan2	r ua2 n
pu1	p u1
shao4	sh ao4
li5	l i5
fen1	f e1 n
luan3	l ua3 n
jue4	j ve4
xian4	x ia4 n
zu1	z u1
lu4	l u4
o1	o1
dai3	d ai3
a1	a1
chuang5	ch a5 ng
han2	h a2 n
mei2	m ei2
hao5	h ao5
liao3	l iao3
lian5	l ia5 n
jiao1	j iao1
guang2	g ua2 ng
ling2	l i2 ng
san3	s a3 n
tao4	t ao4
lei5	l i5
bing3	b i3 ng
yan1	ia1 n
zhuo1	zh uo1
tu1	t u1
jiang1	j ia1 ng
zhi3	zh ii3
yong2	io2 ng
guo1	g uo1
jiu2	j u2
hang2	h a2 ng
liu3	l iu3
lie2	l ie2
jiao5	j iao5
qun2	q v2 n
tu5	t u5
kuang4	k ua4 ng
ti2	t i2
ban3	b a3 n
qin2	q i2 n
na5	n a5
qiao5	q ao5
jia4	j ia4
zhang2	z h a2 ng
ne4	n e4
jin1	j i1 n
zao1	z ao1
zha4	zh a4
dia2	d a2
suo2	s uo2
chao3	ch ao3
ta2	t a2
jue1	j ve1
rang3	r a3 ng
ba2	b a2
nve4	n ve4
ming4	m i4 ng
wo3	uo3
fang1	f a1 ng
bu3	b u3
ye1	ie1
la2	l a2
shou4	sh ou4
ne2	n e2
jia1	j ia1
biao1	b iao1
zhan4	zh a4 n
hen2	h e2 n
chui2	ch uei2
kua4	k ua4
sen1	s e1 n
xie4	x ie4
ya5	ia5
zhang3	zh a3 ng
sui1	s uei1
pan2	p a2 n
xuan4	x va4 n
jiao3	j iao3
yir5	r
zhua1	zh ua1
zhai1	zh ai1
gu1	g u1
sao4	s ao4
peng5	p e5 ng
chuai4	ch uai4
bo4	b o4
chen4	ch e4 n
ga2	g a2
mian3	m ia3 n
hong4	h o4 ng
nuan3	n ua3 n
chan1	ch a1 n
gong5	g o5 ng
neng2	n e2 ng
lang2	l a2 ng
zhou4	zh ou4
si5	s ii5
banr3	b a3 r
zuo1	z uo1
e2	e2
hua1	h ua1
zhu3	zh u3
cun4	c ue4 n
tui5	t uei5
kuang1	k ua1 ng
xiao5	x ao5
yan3	ia3 n
sou5	s ou5
shou5	sh ou5
zhun2	z h ue2 n
pin4	p i4 n
zun1	z ue1 n
kuan2	k ua2 n
ru2	r u2
bie1	b ie1
dui1	d uei1
xun1	x v1 n
jie2	j ie2
shan3	sh a3 n
lun1	l ue1 n
ka2	k a2
san1	s a1 n
yue4	ve4
niu1	n iu1
feng3	f e3 ng
rou5	r ou5
duan3	d ua3 n
chuang2	ch ua2 ng
hang4	h a4 ng
ye3	ie3
ji5	j i5
cai2	c ai2
dian2	d ia2 n
zhuan3	zh ua3 n
pang2	p a2 ng
kan2	k a2 n
huor2	h r
shui4	sh uei4
guan2	g ua2 n
lian3	l ia3 n
pao2	p ao2
tuan3	t ua3 n
zuo2	z uo2
lou2	l ou2
gang4	g a4 ng
tuo3	t uo3
sang2	s a2 ng
cui2	c uei2
po1	p o1
zan2	z a2 n
lu1	l u1
du3	d u3
feng4	f e4 ng
zhu1	zh u1
chao1	ch ao1
qu3	q v3
zhun3	zh ue3 n
peng1	p e1 ng
fan5	f a5 n
pang4	p a4 ng
pi1	p i1
ban4	b a4 n
ga1	g a1
zuo3	z uo3
weng2	e2 ng
nian2	n ia2 n
da3	d a3
nao4	n ao4
chun3	ch ue3 n
weng4	ue4 ng
jin3	j i3 n
pian1	p ia1 n
rang4	r a4 ng
wan4	ua4 n
tun1	t ue1 n
xia4	x ia4
xing5	x i5 ng
nao2	n ao2
ba3	b a3
dong5	d o5 ng
hanr4	h a3 r
deng3	d e3 ng
zha2	zh a2
rang2	r a2 ng
zan3	z a3 n
ran5	r a5 n
ke4	k e4
ha2	h a2
yang2	ia2 ng
mei5	m ei5
suan1	s ua1 n
dun3	d ue3 n
yang5	a5 ng
nai3	n ai3
ce4	c e4
pai5	p ai5
tuan1	t ua1 n
ta5	t a5
huan4	h ua4 n
ng1	ue1 ng
you1	iou1
que4	q ve4
liao5	l ao5
yang1	ia1 ng
tei1	t ei1
pai2	p ai2
zei2	z ei2
huan3	h ua3 n
lie3	l ie3
sun2	s ue2 n
wen3	ue3 n
pan5	p a5 n
jiar1	j r n
she4	sh e4
huo1	h uo1
ping5	p i5 ng
shen1	sh e1 n
long3	l o3 ng
chan5	ch a5 n
an1	a1 n
cen2	c e2 n
lang5	l a5 ng
cha3	ch a3
yao4	iao4
yong4	io4 ng
chen1	ch e1 n
miao4	m iao4
xiang1	x ia1 ng
bei4	b ei4
tu3	t u3
fo2	f o2
die2	d ie2
min3	m i3 n
gu4	g u4
nao3	n ao3
mie4	m ie4
shen3	sh e3 n
ka3	k a3
xian3	x ia3 n
niur1	n r n
beng2	b e2 ng
cuo1	c uo1
hou5	h ou5
na4	n a4
si1	s ii1
pao4	p ao4
he5	h e5
weng3	ue3 ng
lei1	l ei1
far2	f r
yu5	u5
ha5	h a5
fang2	f a2 ng
gu3	g u3
tong4	t o4 ng
qiang1	q ia1 ng
zha3	zh a3
zhur3	zh r
ai2	ai2
bi3	b i3
kao1	k ao1
gou1	g ou1
tou5	t ou5
zhuang5	zh a5 ng
zai4	z ai4
xue3	x ve3
bao2	b ao2
wang3	ua3 ng
hai2	h ai2
ba4	b a4
duan4	d ua4 n
shou3	sh ou3
geng3	g e3 ng
zhui4	zh uei4
hao1	h ao1
lie5	l ie5
ben4	b e4 n
cui4	c uei4
za2	z a2
huan5	h ua5 n
ning2	n i2 ng
tuan5	t ue5 a5 n
chi4	ch ii4
kong2	k o2 ng
zheng1	zh e1 ng
teng5	t e5 ng
hang1	h a1 ng
bo2	b o2
na2	n a2
bi1	b i1
men1	m e1 n
ying3	i3 ng
zhe1	zh e1
kua2	k a2
zao4	z ao4
lai2	l ai2
ju2	j v2
piao1	p iao1
ze4	z e4
chou4	ch ou4
lang4	l a4 ng
zao3	z ao3
iy1	n
ni4	n i4
heng2	h e2 ng
nie4	n ie4
sai1	s ai1
huan1	h ua1 n
bian3	b ia3 n
jing2	j i2 ng
ta4	t a4
tie4	t ie4
zong5	z o5 ng
ji4	j i4
guai4	g uai4
wo2	o2
nie1	n ie1
an4	a4 n
suan4	s ua4 n
kuang2	k ua2 ng
shi4	sh ii4
guo3	g uo3
hu5	h u5
pu3	p u3
xun2	x v2 n
cui5	c uei5
di2	d i2
hair2	h r
fei4	f ei4
wu4	u4
su5	s u5
zuan2	z ua2 n
kai4	k ai4
dir2	d r
she3	sh e3
chou5	ch ou5
tie3	t ie3
hong2	h o2 ng
kui3	k uei3
kui2	k uei2
sun1	s ue1 n
man2	m a2 n
pou1	p ou1
xi5	x i5
dan5	d a5 n
pir2	p r
wen4	ue4 n
cuo4	c uo4
dang4	d a4 ng
guang4	g ua4 ng
hei1	h ei1
cha5	ch a5
miao2	m iao2
ge4	g e4
xiang3	x ia3 ng
lu3	l u3
qie2	q ie2
diao1	d iao1
hun1	h ue1 n
qia4	q ia4
zhao3	zh ao3
du1	d u1
fang3	f a3 ng
ai3	ai3
dai5	d ai5
lan5	l a5 n
tang3	t a3 ng
sui4	s uei4
niao4	n iao4
zhei4	zh ei4
niao2	n iao2
zeng1	z e1 ng
cuan1	c ua1 n
yong3	io3 ng
jian1	j ia1 n
mo1	m o1
tao1	t ao1
shai5	sh ai5
tuan2	t ua2 n
qiao4	q iao4
hu1	h u1
zong2	z o2 ng
wai4	uai4
zao5	z ao5
bu2	b u2
san4	s a4 n
dai4	d ai4
ta1	t a1
fei3	f ei3
chong3	ch o3 ng
pen4	p e4 n
nao1	n ao1
zhun1	zh ue1 n
tuor3	t ue5 r
cang1	c a1 ng
chan2	ch a2 n
ben2	b e2 n
ping1	p i1 ng
shen2	sh e2 n
wang4	ua4 ng
dao1	d ao1
dao3	d ao3
gei2	g ei2
tian2	t ia2 n
tai5	t ai5
bian4	b ia4 n
duo5	d uo5
wa3	ua3
zher4	zh e4 r
qing5	q i5 ng
qiao2	q iao2
dian3	d ia3 n
le5	l e5
cen1	c e1 n
ou3	ou3
man4	m a4 n
che1	ch e1
leng2	l e2 ng
guan1	g ua1 n
weng1	ue1 ng
qi3	q i3
mao2	m ao2
diu1	d iu1
duir1	d r n
lanr4	l a1 r
shou1	sh ou1
qu1	q v1
bing4	b i4 ng
song3	s o3 ng
zan1	z a1 n
zhui1	zh uei1
chui1	ch uei1
wen5	ue3 n
ma5	m a5
che3	ch e3
lei4	l ei4
pian4	p ia4 n
san2	s a2 n
jue2	j ve2
luo4	l uo4
ci2	c ii2
yo1	o1
dianr3	d ia1 r
xing3	x i3 ng
huo2	h uo2
bing2	b i2 ng
xi4	x i4
zhe4	zh e4
kang4	k a4 ng
qiang2	q ia2 ng
hua2	h ua2
pin3	p i3 n
jiong3	j io3 ng
yir4	r
mou3	m ou3
zhou1	zh ou1
jiu3	j iu3
yao1	iao1
rao2	r ao2
rong3	r o3 ng
xi3	x i3
guai2	g ai2
jing1	j i1 ng
ta3	t a3
pi2	p i2
kan5	k a5 n
lv4	l v4
yao5	ao5
qiang4	q ia4 ng
kui4	k uei4
ke1	k e1
hen4	h e4 n
meng4	m e4 ng
te4	t e4
duo3	d uo3
pa1	p a1
shao2	sh ao2
duo1	d uo1
zi2	z i2
bang3	b a3 ng
zou1	z ou1
menr5	m e4 r
mu5	m u5
gua5	g a5
che4	ch e4
jian3	j ia3 n
he2	h e2
song2	s o2 ng
shuo1	sh uo1
men4	m e4 n
yan2	ia2 n
chuo1	ch uo1
mian5	m ia5 n
dao2	d ao2
jiang3	j ia3 ng
de2	d e2
shui3	sh uei3
luo3	l uo3
cuan4	c ua4 n
tui2	t uei2
yun3	v3 n
ma3	m a3
hua4	h ua4
qin4	q i4 n
gai2	g ai2
bian5	b ia5 n
gei3	g ei3
fei1	f ei1
chen3	ch e3 n
zhua3	zh ua3
gong2	g o2 ng
dang2	d a2 ng
cao5	c ao5
zhong3	zh o3 ng
ni3	n i3
tao3	t ao3
suo5	s uo5
chuai3	ch uai3
chong4	ch o4 ng
qia3	q ia3
qiang5	q a5 ng
xuan1	x va1 n
ku3	k u3
mao3	m ao3
bao3	b ao3
leng3	l e3 ng
hai1	h ai1
shang3	sh a3 ng
er4	e4 r
guang5	g a5 ng
po4	p o4
nv3	n v3
diao3	d iao3
wei5	uei5
zhan3	zh a3 n
xian1	x ia1 n
cao2	c ao2
tang2	t a2 ng
lei3	l ei3
shou2	sh ou2
bei1	b ei1
gou4	g ou4
pa4	p a4
zhu5	zh u5
guo4	g uo4
qin3	q i3 n
dong4	d o4 ng
tan4	t a4 n
cui1	c uei1
zhao2	zh ao2
za3	z a3
ting1	t i1 ng
tie1	t ie1
lou3	l ou3
rao4	r ao4
dong1	d o1 ng
zhuan4	zh ua4 n
kong3	k o3 ng
huir3	h r
jing4	j i4 ng
mang3	m a3 ng
zheng3	zh e3 ng
gao1	g ao1
bie2	b ie2
zen3	z e3 n
wang5	ua5 ng
chuo4	ch uo4
mo4	m o4
dei2	d ei2
meng3	m e3 ng
yuan1	va1 n
ao1	ao1
tan2	t a2 n
shuang1	sh ua1 ng
hou2	h ou2
gan3	g a3 n
fen4	f e4 n
kuo4	k uo4
wa5	ua5
bie3	b ie3
huang2	h ua2 ng
gang3	g a3 ng
lan2	l a2 n
zi4	z ii4
liao2	l iao2
nan3	n a3 n
mi5	m i5
hun4	h ue4 n
tiao1	t iao1
jiao2	j iao2
ya3	ia3
sha1	sh a1
ye4	ie4
zai1	z ai1
jiang5	j ia5 ng
ben5	b e5 n
xie3	x ie3
dao5	d ao5
kou1	k ou1
da5	d a5
xing1	x i1 ng
gao2	g ao2
ju4	j v4
ma2	m a2
gui4	g uei4
cha1	ch a1
tong3	t o3 ng
tai4	t ai4
shuo5	sh uo5
shuai5	sh uai5
ti3	t i3
ruo4	r uo4
tao2	t ao2
sa3	s a3
bei3	b ei3
gun4	g ue4 n
shu1	sh u1
qir4	q r
chi1	ch ii1
niang2	n ia2 ng
fu5	f u5
chou2	ch ou2
yingr3	i2 g r
qiu1	q iu1
nuo2	n uo2
tun5	t ue5 n
man3	m a3 n
yanr2	ia4 r
shua3	sh ua3
cong1	c o1 ng
xia1	x ia1
fang4	f a4 ng
juan1	j va1 n
shei2	sh ei2
dir3	d r
zhao1	zh ao1
mang2	m a2 ng
liu5	l iu5
feng5	f e5 ng
pa2	p a2
gou3	g ou3
li4	l i4
jia3	j ia3
kai2	k ai2
po5	p o5
gai1	g ai1
huir4	h r
dou1	d ou1
shu2	sh u2
tai2	t ai2
fa1	f a1
qie3	q ie3
kai3	k ai3
gong1	g o1 ng
dou4	d ou4
li2	l i2
reng2	r e2 ng
lv3	l v3
lao4	l ao4
ke3	k e3
ger4	g e4 r
long2	l o2 ng
mie1	m ie1
za1	z a1
jian4	j ia4 n
xiao2	x iao2
ter4	t e4 r
xu4	x v4
ran2	r a2 n
si3	s ii3
ku4	k u4
jiang2	j a2 ng
yuan5	v3 a5 n
zong4	z o4 ng
quan1	q va1 n
zhan2	z h a2 n
er2	e2 r
rou2	r ou2
ca1	c a1
hou3	h ou3
jun1	j v1 n
er3	e3 r
se5	s ie5
huang4	h ua4 ng
ri4	r ii4
tan3	t a3 n
zhe3	zh e3
duo2	d uo2
zheng4	zh e4 ng
cang2	c a2 ng
diao4	d iao4
yi4	i4
bian1	b ia1 n
mei1	m ei1
niu4	n iu4
xia2	x ia2
ban2	b a2 n
re4	r e4
gu2	g u2
tong5	t o5 ng
wu3	u3
cheng2	ch e2 ng
tu2	t u2
pie3	p ie3
fan3	f a3 n
tianr1	t ia4 r n
ye2	ie2
ding3	d i3 ng
han1	h a1 n
qia2	q ia2
jia2	j ia2
fan2	f a2 n
luo5	l uo5
kao2	k ao2
bin1	b i1 n
zhen3	zh e3 n
nong2	n o2 ng
gua2	g a2
ni2	n i2
ying1	i1 ng
de4	d e4
qun1	q v1 n
cai3	c ai3
kuai4	k uai4
ao3	ao3
dia3	d ia3
zui4	z uei4
sa4	s a4
ya4	ia4
qi5	q i5
piao2	p iao2
peng4	p e4 ng
liang2	l ia2 ng
keng1	k e1 ng
zhang4	zh a4 ng
duir4	d r
fa5	f a5
hu4	h u4
han3	h a3 n
pei4	p ei4
gou2	g ou2
a5	a5
hun5	h n
dang1	d a1 ng
hai4	h ai4
lo5	l o5
sha5	sh a5
pi5	p i5
bao1	b ao1
wo1	uo1
jin2	j n
pao3	p ao3
chu4	ch u4
cu2	c u2
sui3	s uei3
rong2	r o2 ng
la1	l a1
zhen4	zh e4 n
gai4	g ai4
jiu5	j iu5
peng2	p e2 ng
die4	d e4
jian5	j ia5 n
wo5	o5
wai1	uai1
zuo4	z uo4
geng4	g e4 ng
he4	h e4
chun2	ch ue2 n
zhou5	zh ou5
lao2	l ao2
chen5	ch e5 n
cai4	c ai4
huor3	h r
wei4	uei4
tiao2	t iao2
ger2	g e2 r
kao4	k ao4
zi5	z ii5
pu2	p u2
shuai4	sh uai4
e5	e5
tan1	t a1 n
ka1	k a1
deng4	d e4 ng
sheng2	sh e2 ng
que1	q ve1
wanr2	ua1 r
nar2	n r
shuan5	sh a5 n
cou4	c ou4
kou5	k ou5
juan2	j ua2 n
sun3	s ue3 n
cheng3	ch e3 ng
han4	h a4 n
zi1	z ii1
tun2	t ue2 n
tang1	t a1 ng
xiong2	x io2 ng
jiang4	j ia4 ng
fur4	f r
lin3	l i3 n
ruan3	r ua3 n
xiao3	x iao3
pian5	p ia5 n
dir4	d r
bu4	b u4
ga4	g a4
kou2	k ou2
sheng3	sh e3 ng
chuan4	ch ua4 n
yong5	o5 ng
miao1	m iao1
dong2	d o2 ng
la5	l a5
feng2	f e2 ng
heng1	h e1 ng
nu4	n u4
fan4	f a4 n
gao4	g ao4
hou4	h ou4
kuan1	k ua1 n
ling3	l i3 ng
sao1	s ao1
ying4	i4 ng
you5	ou5
niang4	n ia4 ng
bi2	b i2
en1	e1 n
zhunr3	zh ue1 r
xiao1	x iao1
da4	d a4
dui4	d uei4
die1	d ie1
bei5	b ei5
yu2	v2
beng4	b e4 ng
zaor3	z r
kong4	k o4 ng
ci3	c ii3
ao4	ao4
tuo5	t uo5
zhuo2	zh uo2
ting3	t i3 ng
mu3	m u3
cui3	c uei3
ga3	g a3
la3	l a3
po2	p o2
zhuang1	zh ua1 ng
gu5	g u5
fan1	f a1 n
xu5	x u5
fang5	f a5 ng
zuo5	z uo5
rang1	r a1 ng
cun1	c ue1 n
chang4	ch a4 ng
se4	s e4
lao5	l ao5
lou5	l ou5
tui1	t uei1
chang5	ch a5 ng
jiao4	j iao4
lan3	l a3 n
fanr4	f a5 r
bao5	b ao5
chai2	ch ai2
wa2	ua2
wang2	ua2 ng
gang1	g a1 ng
lun2	l ue2 n
xi1	x i1
ru3	r u3
menr2	m e4 r
qing2	q i2 ng
zan4	z a4 n
gua3	g ua3
mi4	m i4
qi1	q i1
mai2	m ai2
zou2	z ou2
re2	r e2
suan5	s a5 n
you3	iou3
ken2	k e2 n
shun4	sh ue4 n
cir2	c r
mei3	m ei3
wang1	ua1 ng
ren5	r e5 n
zhi4	zh ii4
huo5	h uo5
bi4	b i4
jiu1	j iu1
la4	l a4
pai1	p ai1
hun2	h ue2 n
mian4	m ia4 n
suo3	s uo3
pi3	p i3
ren2	r e2 n
xing2	x i2 ng
suo1	s uo1
nuan2	n ua2 n
nan5	n a5 n
dian1	d ia1 n
qiu5	q u5
she1	sh e1
nin2	n i2 n
shao3	sh ao3
bai4	b ai4
guai3	g uai3
genr1	g e2 r n
lai5	l ai5
deng1	d e1 ng
ru4	r u4
nar4	n r
mo5	m o5
biao4	b iao4
huang1	h ua1 ng
ye5	ie5
rou4	r ou4
er5	e5 r
can1	c a1 n
gui5	g uei5
xue1	x ve1
zai5	z ai5
xiu1	x iu1
chuan2	ch ua2 n
lie4	l ie4
zheng2	z h e2 ng
piao3	p iao3
leng4	l e4 ng
yanr3	ia4 r
pa5	p a5
fa4	f a4
lu2	l u2
mou5	m ou5
zhen2	z h e2 n
lv5	l n
yue1	ve1
ha1	h a1
fu4	f u4
wan5	ua5 n
diao5	d ao5
ca3	c a3
di4	d i4
da2	d a2
chou3	ch ou3
gang5	g a5 ng
tan5	t a5 n
yin2	i2 n
yi3	i3
yuanr4	ua2 r
xian2	x ia2 n
ying5	i5 ng
ge2	g e2
nv5	n n
sang4	s a4 ng
yun1	v1 n
gunr4	g ue1 r
niao3	n iao3
ya1	ia1
deng2	d e2 ng
cuo2	c uo2
shen4	sh e4 n
ji1	j i1
meng2	m e2 ng
qing4	q i4 ng
qiao1	q iao1
chai1	ch ai1
yu3	v3
sha3	sh a3
ting2	t i2 ng
ou4	ou4
rui2	r uei2
pen1	p e1 n
qin1	q i1 n
nuo4	n uo4
zhe5	zh e5
gun3	g ue3 n
miu4	m iu4
hai3	h ai3
lve4	l ve4
ming2	m i2 ng
pei1	p ei1
nai5	n ai5
shan4	sh a4 n
mai3	m ai3
wo4	uo4
wan3	ua3 n
ding4	d i4 ng
pie1	p ie1
qiong2	q io2 ng
cha2	ch a2
ning3	n i3 ng
yo5	o5
ting5	t i5 ng
sui2	s uei2
mingr2	m i3 g r
yuan4	va4 n
nen4	n e4 n
gui3	g uei3
ju1	j v1
zu3	z u3
quan5	q a5 n
ji3	j i3
hui5	h i5
zhang1	zh a1 ng
zhuan2	zh ua2 n
qiao3	q iao3
rang5	r a5 ng
shuai1	sh uai1
yangr4	ia4 g r
kan1	k a1 n
jin4	j i4 n
duor3	d r
cao3	c ao3
qing1	q i1 ng
me1	m ie1
kong1	k o1 ng
kuair4	k r
run5	r ue5 n
niu2	n iu2
sou1	s ou1
nv2	n v2
men2	m e2 n
shen5	sh e5 n
pan4	p a4 n
zai3	z ai3
chuang4	ch ua4 ng
ou2	ou2
rao3	r ao3
lin2	l i2 n
fu1	f u1
shuo4	sh uo4
kan3	k a3 n
duan2	d ua2 n
guan3	g ua3 n
dou2	d ou2
dai1	d ai1
ya2	ia2
nu2	n u2
kui1	k uei1
chui5	ch uei5
dan1	d a1 n
nu3	n u3
qie4	q ie4
ge5	g e5
liu2	l iu2
tian3	t ia3 n
kai1	k ai1
a4	a4
xun4	x v4 n
tui3	t uei3
fa2	f a2
zhe2	zh e2
nai4	n ai4
le4	l e4
zou3	z ou3
xiu4	x iu4
chuan1	ch ua1 n
pin2	p i2 n
kou3	k ou3
lir3	l r
quan4	q va4 n
nen5	n e5 n
cun3	c ue3 n
chen2	ch e2 n
qie5	q ie5
can2	c a2 n
rui4	r uei4
an2	a2 n
tuo4	t uo4
zhuan5	zh a5 n
han5	h a5 n
ang4	a4 ng
qie1	q ie1
zang4	z a4 ng
re3	r e3
gou5	g ou5
nar3	n r
duo4	d uo4
hu2	h u2
fu3	f u3
yan4	ia4 n
tiao4	t iao4
shuang3	sh ua3 ng
ling4	l i4 ng
mao1	m ao1
yang4	ia4 ng
shuai3	sh uai3
jiong2	j o2 ng
ao2	ao2
xing4	x i4 ng
ai1	ai1
tou4	t ou4
reng1	r e1 ng
zen2	z e2 n
tou1	t ou1
shua1	sh ua1
jie4	j ie4
ken3	k e3 n
hui1	h uei1
yuan2	va2 n
nan2	n a2 n
qing3	q i3 ng
gan5	g a5 n
zhi2	zh ii2
fou2	f ou2
chuang3	ch ua3 ng
huo4	h uo4
run4	r ue4 n
bo3	b o3
wu5	u5
ben1	b e1 n
biao3	b iao3
si4	s ii4
wai2	ai2
juan4	j va4 n
cheng1	ch e1 ng
guang3	g ua3 ng
bian2	b ia2 n
o4	o4
bang2	b a2 ng
bai5	b ai5
nong5	n o5 ng
niu5	n iu5
xie5	x ie5
zhuai4	zh uai4
shir4	sh r
yin1	i1 n
wai3	uai3
luo2	l uo2
kan4	k a4 n
